17,17,17,17,17,17,17,8,0,9,17,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,2,17/26,3,17,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,2,17/23,5,0,9,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,2,17/23,17/23,17/23,5,0,0,9,17,17,17,17,17,17
17,17,17,17,17,17,17,10,1,6,17/22,17/23,17/23,17/23,5,0,0,0,9,17,17
17,17,17,17,17,17,17,17,17,10,1,1,6,17/22,17/23,17/23,17/23,17/23,5,9,17
17,17,17,17,17,17,17,17,17,17,17,17,10,1,1,1,6,17/22,17/23,3,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,6,17/23,3,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2,17/23,5,9
17,17,17,17,17,17,17,8,0,0,0,9,17,17,17,8,0,4,17/23,17/22/24,3
17,17,8,0,0,0,0,4,17/22,17/22,17/22,5,0,0,0,4,17,17,17/23,17/22/24,3
17,8,4,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/22/24,3
8,4,17,17,7,1,6,17,7,1,1,1,1,1,1,1,1,6,17/22/24,17/22/24,3
2,17,17,7,11,17,10,13,11,17,8,0,0,0,0,0,9,10,1,1,11
2,17/23,7,11,17,17,17,17,17,17,2,17,17/22/24,17/22/24,17/22/24,17,3,17,17,17,17
2,17/23,3,8,0,12,9,17,17,17,2,17/22/24,7,1,6,17/22/24,5,9,17,17,17
2,17/23,3,2,17/22,17/24,5,0,9,17,2,17/22/24,3,17,2,17/22/24,17,3,17,17,17
2,17/23,3,2,17,17,17,17,5,9,2,17/22/24,3,17,2,17/22/24,17,3,17,17,17
2,17/23,5,4,17,7,6,17,17,3,2,17/22/24,5,0,4,17/22/24,17,3,17,17,17
2,17/22,17,17,17,3,10,6,17/22,5,4,17,17/22/24,17/22/24,17/22/24,17,17,3,17,17,17
11,1,1,1,1,10,17,2,17/22,17,17,17,7,1,1,6,17,5,9,17,17
17,17,17,17,17,17,17,10,1,6,17/22,17/22,3,17,17,2,17,17/22,3,17,17
8,0,0,9,17,17,17,17,17,10,1,1,11,17,17,10,6,17/23,3,17,17
2,17/23,17/23,3,17,17,17,17,17,17,17,17,17,17,17,17,2,17/23,3,17,17
2,17/23,17/23,24/20,0,0,0,0,0,0,0,0,9,17,17,17,2,17/23,3,17,17
2,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/23,17/22,5,0,9,8,4,17/23,3,17,17
2,17,17,17,17/22/24,7,1,1,1,1,6,17,17,17,5,4,17,17,3,17,17
10,6,17,7,1,11,17,17,17,17,10,1,6,17,17,17,17/22,7,11,17,17
17,2,17,3,17,17,8,0,0,9,17,17,10,1,1,1,1,11,17,17,17
17,2,17,3,17,17,2,17/23,17/23,3,17,17,17,17,17,17,17,17,17,17,17
17,2,17,5,0,0,4,17/23,17/23,3,17,17,17,17,17,17,17,17,17,17,17
17,2,17,17,17,17,17,17,17/22/24,3,17,17,17,17,17,17,17,17,17,17,17
17,10,1,1,1,1,6,17,7,11,17,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,2,17,3,17,17,17,17,17,17,17,8,0,0,0,9
17,17,17,8,0,0,4,17,3,17,17,17,17,8,0,0,4,17/23,17/23,17/23,3
17,17,17,2,17,17,17,17,3,17,17,17,17,2,17/23,17/23,17/23,17/23,17,17/23,3
17,8,0,4,17/23,7,1,1,11,17,17,8,0,4,17/23,17/22/24,7,1,6,17/22/24,3
17,2,17,17,17/23,3,17,17,17,17,17,2,17/23,17/23,17/23,17/22/24,3,17,2,17/22/24,3
17,2,17/23,7,1,11,17,17,8,0,0,4,17/23,7,1,1,11,17,2,17/22/24,3
17,2,17/23,3,17,17,17,17,2,17/23,17/23,17/23,17/23,3,17,17,8,0,4,17/22/24,3
17,2,17/23,5,9,17,17,17,2,17/23,7,1,1,11,17,8,4,17/23,17/23,17/23,3
17,2,17/22,17,3,17,8,0,4,17/23,5,0,9,17,8,4,17/23,17/22/24,3,1,11
17,10,6,17,5,0,4,17,17,17/23,17,17,5,0,4,17/23,17/22/24,7,11,17,17
17,17,2,17/23,17/23,17/23,17/23,17/22/24,17/22,17/23,17/22,17/22/24,17/23,17/23,17/23,17/22/24,7,11,17,17,17
17,17,10,1,1,1,1,1,6,17/23,7,1,1,1,1,1,11,17,17,17,17
17,17,17,17,17,17,17,17,2,17/23,3,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,17,2,17/23,3,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,17,18,17/23,19,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,18,17/23,17/23,17/23,19,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,14,17/23,17/23,17/23,17/23,17/23,15,17,17,17,17,17,17,17,17
17,17,17,17,17,17,14,17/23,17/23,17/23,17/23,17/23,15,17,17,17,17,17,17,17,17
17,17,17,17,17,17,1,1,1,1,1,1,1,17,17,17,17,17,17,17,17
